Job1,Job2,Sector1,Sector2,NSQF1,NSQF2,similarity_score
Plastic Recycling Micro Entrepreneur,Food & Beverage Service - Associate,Green Jobs,Tourism & Hospitality,4,4,0.38606888
Solar Photovoltaic Technician,Tour Manager,Green Jobs,Tourism & Hospitality,4,6,0.38606206
Solar PV Designer,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,7,3,0.38604748
Introduction to Electric Vehicle,Mineral Processing Operator,Automotive,Mining,4,4,0.3860097
GHG Accounting and Sustainability Reporting,Mineral Processing Operator,Green Jobs,Mining,6,4,0.3860097
Bio-Energy Micro Entrepreneur,Loin Loom Weaver,Green Jobs,Textile,4,3,0.3860029
GHG Accounting and Sustainability Reporting,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,6,3,0.38599163
Introduction to Electric Vehicle,Handcrafted Candle Maker,Automotive,Handicrafts and Carpet,4,3,0.38599163
Tool Room Designer,Introduction to Electric Vehicle,Automotive,Automotive,5,4,0.3859787
Tool Room Designer,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,5,6,0.3859787
Solar PV Designer,Food & Beverage Service - Associate,Green Jobs,Tourism & Hospitality,7,4,0.3859552
Introduction to Electric Vehicle,Basic sculptor and stone artist (Moortikar),Automotive,Handicrafts and Carpet,4,2.5,0.3859356
GHG Accounting and Sustainability Reporting,Basic sculptor and stone artist (Moortikar),Green Jobs,Handicrafts and Carpet,6,2.5,0.3859356
Improved Cookstove Installer,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,4,7,0.38593316
Leaf Utility Products Artisan,Pirn Winding Machine Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Knotting Machine Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Jacquard Harness Builder,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Ikkat Artisan,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Cone Winding Operator - Manual & Assembly Winding,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Kalamkari Artisan,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Combing Preparatory Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Size Mixer,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Sizing Machine Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Blowroom Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Ginning Helper,Handicrafts and Carpet,Textile,2,1,0.38587844
Leaf Utility Products Artisan,Tape Winder,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Circular loom operator (Shuttle type),Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Jute Carding Operator,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Fabric Mender - Textiles,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Fabric Checker - Textiles,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Tape Plant Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Twister cum Doubler - Handloom,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Fitter  Weaving Preparatory,Handicrafts and Carpet,Textile,2,4,0.38587844
Leaf Utility Products Artisan,Ring Frame Doffer,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Hand Knitting Machine Operator,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Card Puncher (Automatic Machine),Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Jute Weft Winding Operator,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Ring Frame Tenter,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Fitter Helper - Weaving,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Hand Spinning Operator,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Jute Beaming Operator,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Knitting Machine Operator Flat Bed Knitting,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Assistant Cotton Grader (Ginning),Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Knitting Machine Operator Warp Knitting,Handicrafts and Carpet,Textile,2,3,0.38587844
Leaf Utility Products Artisan,Fitter - Shuttleless Weaving Machine: Projectile,Handicrafts and Carpet,Textile,2,4,0.38587844
Leaf Utility Products Artisan,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Handicrafts and Carpet,Textile,2,4,0.38587844
Leaf Utility Products Artisan,Jute Selector cum Assorter,Handicrafts and Carpet,Textile,2,2,0.38587844
Leaf Utility Products Artisan,Assistant Ginning Fitter,Handicrafts and Carpet,Textile,2,2,0.38587844
Plastic Recycling Micro Entrepreneur,Loin Loom Weaver,Green Jobs,Textile,4,3,0.38587466
Industrial Control,Recyclable Waste Collector & Segregator,Automotive,Green Jobs,4.5,4,0.38585037
Automotive Machinist,Solar PV Designer,Automotive,Green Jobs,3,7,0.38580492
Solar PV Designer,Food & Beverage Controller,Green Jobs,Tourism & Hospitality,7,6,0.38579938
Solar EV Charging Entrepreneur,Bartender,Green Jobs,Tourism & Hospitality,4,4.5,0.38577288
Solar Domestic Product Assembler,Transport Coordinator-Tourism and Hospitality,Green Jobs,Tourism & Hospitality,2.5,4,0.38566524
Automotive Production Equipment Design Engineer,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,5,4,0.38565886
Industrial Control,Biomass Pellet Manufacturing Junior Technician,Automotive,Green Jobs,4.5,3,0.38560975
Solar Domestic Product Assembler,Ground Crew Chief (Paragliding),Green Jobs,Tourism & Hospitality,2.5,4,0.38551334
Green Hydrogen Plant Junior Technician-Electrolyzer,Wastewater Treatment Plant Helper,Green Jobs,Green Jobs,3,3,0.385513
GHG Accounting and Sustainability Reporting,Wire Saw  Operator,Green Jobs,Mining,6,4,0.3854955
Introduction to Electric Vehicle,Wire Saw  Operator,Automotive,Mining,4,4,0.3854955
Autobody Repair,Loin Loom Weaver,Automotive,Textile,4.5,3,0.38540152
GHG Accounting and Sustainability Reporting,Hand Crochet Lace Maker,Green Jobs,Handicrafts and Carpet,6,3,0.3853663
Introduction to Electric Vehicle,Hand Crochet Lace Maker,Automotive,Handicrafts and Carpet,4,3,0.3853663
GHG Accounting and Sustainability Reporting,Iron & Steel  Utility Hand Plant Operations,Green Jobs,Iron and Steel,6,1,0.3853631
Introduction to Electric Vehicle,Iron & Steel  Utility Hand Plant Operations,Automotive,Iron and Steel,4,1,0.3853631
Traditional Glass Toy Maker,Food & Beverage Service Manager,Handicrafts and Carpet,Tourism & Hospitality,2.5,7,0.3853357
GHG Accounting and Sustainability Reporting,Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,6,4,0.38530537
Introduction to Electric Vehicle,Advanced Program on Hand Block Printing,Automotive,Handicrafts and Carpet,4,4,0.38530537
Battery Operator,Tour Manager,Iron and Steel,Tourism & Hospitality,5,6,0.38525638
Solar PV Engineer (Option: Solar Water Pumping System),Glass Blowing Operator (Glassware),Green Jobs,Handicrafts and Carpet,5,3,0.3852514
Advanced Program on Hand Block Printing,Street Food Vendor- Standalone,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.38521433
Basic Program on Traditional Hand Embroidery,Assistant Laboratory Technician,Handicrafts and Carpet,Iron and Steel,4,3,0.3852016
Automotive Machinist,Plastic Recycling Operator,Automotive,Green Jobs,3,3,0.3851958
Automotive Sales Leader,Loin Loom Weaver,Automotive,Textile,5,3,0.38515344
Improved Cookstove Installer,Facility Manager,Green Jobs,Tourism & Hospitality,4,6,0.38506734
Sewer Entry Professional,Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,3,4,0.38501847
Automotive Machining Lead Technician,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,4.5,4,0.38501462
Plastic Recycling Micro Entrepreneur,Decorative Painter - Glassware,Green Jobs,Handicrafts and Carpet,4,3.5,0.3849702
House Keeping with Mechanised Equipments,Tour Manager,Iron and Steel,Tourism & Hospitality,2,6,0.38494778
Food Safety Team Leader,Loin Loom Weaver,Food Processing,Textile,5,3,0.38490117
Solar PV Engineer (Option: Solar Water Pumping System),Counter Sales Executive (Tourism and Hospitality),Green Jobs,Tourism & Hospitality,5,4,0.38484648
Introduction to Electric Vehicle,Jacquard Weaver - Handloom,Automotive,Textile,4,3,0.38482428
GHG Accounting and Sustainability Reporting,Jacquard Weaver - Handloom,Green Jobs,Textile,6,3,0.38482428
Loin Loom Weaver,Tour  Guide,Textile,Tourism & Hospitality,3,5,0.38476476
Junior Technician- Solar Cold Storage,Ceramics and Terracotta Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,3,4,0.38463297
Agri-residue Aggregator,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,3,6,0.3845358
Introduction to Electric Vehicle,Agri-residue Aggregator,Automotive,Green Jobs,4,3,0.3845358
Basic Program on Traditional Hand Embroidery,Operator - Fluid Controls,Handicrafts and Carpet,Iron and Steel,4,4,0.38442034
Welding,Duty Manager,Automotive,Tourism & Hospitality,4.5,5,0.38433564
Loin Loom Weaver,Cooking (WorldSkills),Textile,Tourism & Hospitality,3,4.5,0.3842747
Feedstock Manager - Procurement and Composition,Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,6,4,0.3842677
Solar PV Designer,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,7,7,0.38426518
Biomass Pellet Manufacturing Junior Technician,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.38425058
GHG Accounting and Sustainability Reporting,Advanced Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,6,4,0.3842477
Introduction to Electric Vehicle,Advanced Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,4,4,0.3842477
GHG Accounting and Sustainability Reporting,Pantry Associate,Green Jobs,Tourism & Hospitality,6,3,0.3841855
Introduction to Electric Vehicle,Pantry Associate,Automotive,Tourism & Hospitality,4,3,0.3841855
Automotive Machinist,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.38416964
Automotive Machinist,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.38416964
Introduction to Electric Vehicle,Demi Chef De Partie,Automotive,Tourism & Hospitality,4,4.5,0.3841465
GHG Accounting and Sustainability Reporting,Demi Chef De Partie,Green Jobs,Tourism & Hospitality,6,4.5,0.3841465
Plastic Recycling Micro Entrepreneur,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,4,4.5,0.38412827
Basic Program on Traditional Hand Embroidery,Mechanic -Fitter (Mineral Sands),Handicrafts and Carpet,Mining,4,3,0.38412473
GHG Accounting and Sustainability Reporting,Abrasion & Grinding Machine Operator,Green Jobs,Handicrafts and Carpet,6,3,0.38411754
Introduction to Electric Vehicle,Abrasion & Grinding Machine Operator,Automotive,Handicrafts and Carpet,4,3,0.38411754
Loin Loom Weaver,Food & Beverage Service - Associate,Textile,Tourism & Hospitality,3,4,0.38408068
GHG Accounting and Sustainability Reporting,Fitter - Shuttleless Weaving Machine: Air-Jet,Green Jobs,Textile,6,4,0.3840799
Introduction to Electric Vehicle,Fitter - Shuttleless Weaving Machine: Air-Jet,Automotive,Textile,4,4,0.3840799
Junior Technician - Mechanized Sewer Cleaning,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,3,7,0.38407615
Green Hydrogen Plant Junior Technician (Desalination),Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,3,7,0.3840455
Handcrafted Candle Maker,Facility Manager,Handicrafts and Carpet,Tourism & Hospitality,3,6,0.38401136
Basic Program on Traditional Hand Embroidery,Kitchen Trainee,Handicrafts and Carpet,Tourism & Hospitality,4,3,0.38399887
Solar Photovoltaic Site Survey Assistant,Loin Loom Weaver,Green Jobs,Textile,3.5,3,0.38396955
Basic Program on Traditional Hand Embroidery,Guest Service Associate- Food & Beverage Service,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.3839489
GHG Accounting and Sustainability Reporting,Kamgar (Mining),Green Jobs,Mining,6,1,0.383941
Introduction to Electric Vehicle,Kamgar (Mining),Automotive,Mining,4,1,0.383941
Car Painting,Food & Beverage Service Manager,Automotive,Tourism & Hospitality,4.5,7,0.38386855
Wastewater Treatment Plant Helper,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,3,7,0.38386613
Honey Processor,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,2,4,0.38382435
Introduction to Electric Vehicle,Coal Bed Methane (CBM) Extraction Operator,Automotive,Mining,4,3,0.38381097
GHG Accounting and Sustainability Reporting,Coal Bed Methane (CBM) Extraction Operator,Green Jobs,Mining,6,3,0.38381097
Jr Operator- Automotive Quality Control,Plastic Recycling Micro Entrepreneur,Automotive,Green Jobs,3,4,0.3837651
Solar PV Installer - Electrical,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,4,4,0.3836685
Rig-Mounted Drill Operator,Loin Loom Weaver,Mining,Textile,4,3,0.3836311
Plant Head â€“ Operations (Compressed Biogas/Waste to Energy),Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,7,4,0.383624
Wastewater Treatment Plant Helper,Bakery (WorldSkills),Green Jobs,Tourism & Hospitality,3,4.5,0.38361317
GHG Accounting and Sustainability Reporting,Pirn Winding Machine Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Jute Beaming Operator,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Fitter Helper - Weaving,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Twister cum Doubler - Handloom,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Kalamkari Artisan,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Jacquard Harness Builder,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Ikkat Artisan,Green Jobs,Textile,6,2,0.3835098
Introduction to Electric Vehicle,Sizing Machine Operator,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Size Mixer,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Kalamkari Artisan,Automotive,Textile,4,2,0.3835098
GHG Accounting and Sustainability Reporting,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Green Jobs,Textile,6,4,0.3835098
GHG Accounting and Sustainability Reporting,Jute Weft Winding Operator,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Jute Selector cum Assorter,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Ring Frame Doffer,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Knotting Machine Operator,Green Jobs,Textile,6,3,0.3835098
Introduction to Electric Vehicle,Jute Carding Operator,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Ring Frame Doffer,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Automotive,Textile,4,4,0.3835098
Introduction to Electric Vehicle,Jute Weft Winding Operator,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Jute Selector cum Assorter,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Fitter - Shuttleless Weaving Machine: Projectile,Automotive,Textile,4,4,0.3835098
Introduction to Electric Vehicle,Fitter  Weaving Preparatory,Automotive,Textile,4,4,0.3835098
GHG Accounting and Sustainability Reporting,Card Puncher (Automatic Machine),Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Fitter - Shuttleless Weaving Machine: Projectile,Green Jobs,Textile,6,4,0.3835098
GHG Accounting and Sustainability Reporting,Fitter  Weaving Preparatory,Green Jobs,Textile,6,4,0.3835098
GHG Accounting and Sustainability Reporting,Fabric Mender - Textiles,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Fabric Checker - Textiles,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Tape Winder,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Tape Plant Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Hand Spinning Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Hand Knitting Machine Operator,Green Jobs,Textile,6,2,0.3835098
Introduction to Electric Vehicle,Fabric Mender - Textiles,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Jacquard Harness Builder,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Ikkat Artisan,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Hand Spinning Operator,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Twister cum Doubler - Handloom,Automotive,Textile,4,2,0.3835098
GHG Accounting and Sustainability Reporting,Sizing Machine Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Size Mixer,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Ring Frame Tenter,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Knitting Machine Operator Warp Knitting,Green Jobs,Textile,6,3,0.3835098
Introduction to Electric Vehicle,Ginning Helper,Automotive,Textile,4,1,0.3835098
GHG Accounting and Sustainability Reporting,Assistant Cotton Grader (Ginning),Green Jobs,Textile,6,2,0.3835098
Introduction to Electric Vehicle,Hand Knitting Machine Operator,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Combing Preparatory Operator,Automotive,Textile,4,3,0.3835098
GHG Accounting and Sustainability Reporting,Circular loom operator (Shuttle type),Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Cone Winding Operator - Manual & Assembly Winding,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Combing Preparatory Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Blowroom Operator,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Assistant Ginning Fitter,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Knitting Machine Operator Flat Bed Knitting,Green Jobs,Textile,6,3,0.3835098
GHG Accounting and Sustainability Reporting,Jute Carding Operator,Green Jobs,Textile,6,2,0.3835098
GHG Accounting and Sustainability Reporting,Ginning Helper,Green Jobs,Textile,6,1,0.3835098
Introduction to Electric Vehicle,Tape Winder,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Tape Plant Operator,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Circular loom operator (Shuttle type),Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Ring Frame Tenter,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Cone Winding Operator - Manual & Assembly Winding,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Fabric Checker - Textiles,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Card Puncher (Automatic Machine),Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Assistant Ginning Fitter,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Assistant Cotton Grader (Ginning),Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Knitting Machine Operator Warp Knitting,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Knitting Machine Operator Flat Bed Knitting,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Pirn Winding Machine Operator,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Knotting Machine Operator,Automotive,Textile,4,3,0.3835098
Introduction to Electric Vehicle,Jute Beaming Operator,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Fitter Helper - Weaving,Automotive,Textile,4,2,0.3835098
Introduction to Electric Vehicle,Blowroom Operator,Automotive,Textile,4,3,0.3835098
Dairy Processing Equipment Operator,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,4,6,0.38350046
Introduction to Electric Vehicle,Dairy Processing Equipment Operator,Automotive,Food Processing,4,4,0.38350046
GHG Accounting and Sustainability Reporting,Traditional Glass Toy Maker,Green Jobs,Handicrafts and Carpet,6,2.5,0.3834678
Introduction to Electric Vehicle,Traditional Glass Toy Maker,Automotive,Handicrafts and Carpet,4,2.5,0.3834678
Automotive Quality Control Inspector,Finished Package Checker-cum-Packer  - Spinning,Automotive,Textile,3,3,0.38343763
Iron & Steel- Plasma Cutter: Manual,Tour Manager,Iron and Steel,Tourism & Hospitality,4,6,0.38342643
GHG Accounting and Sustainability Reporting,Design Marker - Stonecraft,Green Jobs,Handicrafts and Carpet,6,3.5,0.38339517
Introduction to Electric Vehicle,Design Marker - Stonecraft,Automotive,Handicrafts and Carpet,4,3.5,0.38339517
Wastewater Treatment Plant Helper,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,3,3,0.38338202
Solar Photovoltaic Site Survey Assistant,Duty Manager,Green Jobs,Tourism & Hospitality,3.5,5,0.3833598
Rooftop Rainwater Harvesting Entrepreneur,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,4,3,0.3833585
Loin Loom Weaver,Ski Instructor,Textile,Tourism & Hospitality,3,6,0.3833549
Solar Photovoltaic Technician,Bartender,Green Jobs,Tourism & Hospitality,4,4.5,0.38333964
Introduction to Electric Vehicle,Food Packer,Automotive,Food Processing,4,2,0.3833298
Food Packer,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,2,6,0.3833298
Solar Photovoltaic Site Survey Assistant,Hank Dyer,Green Jobs,Textile,3.5,3,0.38327348
Recyclable Waste Collector & Segregator,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,4,7,0.3832457
Auto Rickshaw Driver,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,4,4,0.38320115
Rooftop Solar Grid Engineer,Laundry Associate,Green Jobs,Tourism & Hospitality,5,4,0.38317555
Recyclable Waste Collector & Segregator,Jumbo Drill Operator,Green Jobs,Mining,4,4,0.38316685
Solar EV Charging Entrepreneur,Glass Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,4,4,0.383128
Advanced Program on Hand Block Printing,Walk Tour Facilitator,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.38305268
Solar PV Designer,Housekeeping Attendant,Green Jobs,Tourism & Hospitality,7,3,0.3830316
Advanced Program on Traditional Hand Embroidery,Food & Beverage Controller,Handicrafts and Carpet,Tourism & Hospitality,4,6,0.38296402
Junior Technician - Mechanized Sewer Cleaning,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,3,3,0.38278836
GHG Accounting and Sustainability Reporting,Coir Fibre Artisan,Green Jobs,Handicrafts and Carpet,6,2.5,0.38278487
Introduction to Electric Vehicle,Coir Fibre Artisan,Automotive,Handicrafts and Carpet,4,2.5,0.38278487
Basic Program on Traditional Hand Embroidery,Mining Rescuer,Handicrafts and Carpet,Mining,4,3,0.38277215
Plastic Recycling Operator,Revenue Manager,Green Jobs,Tourism & Hospitality,3,5.5,0.3827377
Solar PV Engineer (Option: Solar Water Pumping System),Food and Beverage Service Assistant,Green Jobs,Tourism & Hospitality,5,3,0.38272557
Solar PV Engineer (Option: Solar Water Pumping System),Food & Beverage Service Assistant,Green Jobs,Tourism & Hospitality,5,3,0.38272557
Introduction to Electric Vehicle,Front Office Assistant,Automotive,Tourism & Hospitality,4,3,0.38269442
GHG Accounting and Sustainability Reporting,Front Office Assistant,Green Jobs,Tourism & Hospitality,6,3,0.38269442
Food Safety Team Leader,Advanced Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,5,4,0.38269138
Recyclable Waste Collector & Segregator,Bakery (WorldSkills),Green Jobs,Tourism & Hospitality,4,4.5,0.3826657
Squash and Juice Processing Technician,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,3,6,0.38263988
Introduction to Electric Vehicle,Squash and Juice Processing Technician,Automotive,Food Processing,4,3,0.38263988
Solar EV Charging Entrepreneur,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,4,7,0.3826021
GHG Accounting and Sustainability Reporting,Ground Crew Chief (Paragliding),Green Jobs,Tourism & Hospitality,6,4,0.38258302
Introduction to Electric Vehicle,Ground Crew Chief (Paragliding),Automotive,Tourism & Hospitality,4,4,0.38258302
Commercial Vehicle Driver,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,3,4,0.3825487
GHG Accounting and Sustainability Reporting,Gas Tungsten Arc Welding (GTAW),Green Jobs,Iron and Steel,6,4,0.38245767
Introduction to Electric Vehicle,Gas Tungsten Arc Welding (GTAW),Automotive,Iron and Steel,4,4,0.38245767
Jr Operator- Automotive Quality Control,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.38239065
Jr Operator- Automotive Quality Control,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.38239065
Solar Domestic Product Assembler,Front Office Trainee,Green Jobs,Tourism & Hospitality,2.5,3,0.38238508
Improved Cookstove Installer,Front Office Manager,Green Jobs,Tourism & Hospitality,4,7,0.38238102
Solar Photovoltaic Technician,Laundry Associate,Green Jobs,Tourism & Hospitality,4,4,0.3823776
Solar Photovoltaic Site Survey Assistant,Kitchen Stewarding Shift In charge,Green Jobs,Tourism & Hospitality,3.5,3.5,0.38234994
Handcrafted Candle Maker,Hotel Reception (WorldSkills),Handicrafts and Carpet,Tourism & Hospitality,3,4.5,0.382326
Handcrafted Candle Maker,Billing Executive,Handicrafts and Carpet,Tourism & Hospitality,3,4,0.38231564
GHG Accounting and Sustainability Reporting,Lacquerer (Woodware),Green Jobs,Handicrafts and Carpet,6,2.5,0.38230366
Introduction to Electric Vehicle,Lacquerer (Woodware),Automotive,Handicrafts and Carpet,4,2.5,0.38230366
Handcrafted Candle Maker,Loader  Operator (Mining),Handicrafts and Carpet,Mining,3,4,0.38223833
Advanced Program on Hand Block Printing,Mountain Cuisine Chef,Handicrafts and Carpet,Tourism & Hospitality,4,5,0.382118
Basic Program on Traditional Hand Embroidery,Transport Coordinator-Tourism and Hospitality,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.38207853
Solar Cold Storage Entrepreneur,Walk Tour Facilitator,Green Jobs,Tourism & Hospitality,4,4,0.38202888
GHG Accounting and Sustainability Reporting,Facility Management Executive,Green Jobs,Tourism & Hospitality,6,5,0.38199136
Introduction to Electric Vehicle,Facility Management Executive,Automotive,Tourism & Hospitality,4,5,0.38199136
Welding,Handloom Entrepreneur,Automotive,Textile,4.5,5,0.38195962
Loader  Operator (Mining),Home Stay Host,Mining,Tourism & Hospitality,4,5,0.38194758
Quality Assurance Manager,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,6,6,0.38187325
Introduction to Electric Vehicle,Quality Assurance Manager,Automotive,Food Processing,4,6,0.38187325
Pickle and Paste Making Technician,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,3,4,0.38183218
Advanced Program on Hand Block Printing,Quality Control Manager-Tourism and Hospitality,Handicrafts and Carpet,Tourism & Hospitality,4,6,0.38178098
Loin Loom Weaver,"Meeting, Conference and Event Planner",Textile,Tourism & Hospitality,3,5,0.3817691
